X,Y,rowid,cad_tot_houses,cad_tot_hab,cad_tot_hotels,cad_med_consq,cad_tot_parcs,cad_pk,cad_tot_srf_houses,cad_tot_srf_hotels,fc_tot_offer,fc_tot_owners,fc_avg_price,rn_ab_min_price,rn_fc_med_price,rn_fc_max_price,rn_fc_offer,rn_ab_tot_price,rn_fc_min_price,rn_ab_med_price,rn_ab_avg_price,rn_fc_avg_price,rn_ab_max_price,rn_ab_offer,rn_fc_tot_price,abnb_tot_beds,abnb_tot_hosts_listings,abnb_tot_price,abnb_tot_offer,abnb_tot_owners,abnb_pk,abnb_tot_reviews,abnb_tot_reviews_per_month,fl_n_tourists,fl_n_locals,fl_txt_madrid,fl_n_date,fl_n_user,fl_n_posts,fl_tag_madrid,h_cat3cod,h_id,h_web,h_title,h_zipcode,h_latitude,h_email,h_body,h_fax,h_phone,h_cat3txt,h_subadministrativearea,h_address,h_cat1txt,h_cat2txt,h_name,h_language,h_cat2cod,h_country,h_locality,h_longitude,h_cat1cod,local200_n_shops24h,local200_n_shops,local200_n_prox_fresco,local200_n_prox_supers,local200_n_epigrafes,local200_n_alquillercoche,local200_n_prox_alcohol,local200_n_fiesta,local200_n_prox_noalim,local200_n_alojamiento,local200_n_prox_educacion,local200_n_vacios,local200_n_locutoris,local200_n_restaurants,local200_n_desconocidos,local200_n_prox_pastelerias,local200_n_prox_supersbig,local200_n_agrupaciones,local200_n_locales,local200_n_sex,local300_n_shops24h,local300_n_shops,local300_n_prox_fresco,local300_n_prox_supers,local300_n_epigrafes,local300_n_alquillercoche,local300_n_prox_alcohol,local300_n_fiesta,local300_n_prox_noalim,local300_n_alojamiento,local300_n_prox_educacion,local300_n_vacios,local300_n_locutoris,local300_n_restaurants,local300_n_desconocidos,local300_n_prox_pastelerias,local300_n_prox_supersbig,local300_n_agrupaciones,local300_n_locales,local300_n_sex,tp_pricerange_tot,tp_rating_tot,tp_reviews_max,tp_reviews_min,tp_offers_tot,tp_reviews_med,tp_rating_avg,tp_pricerange_1,tp_pricerange_avg,tp_pricerange_3,tp_pricerange_2,tp_pricerange_0,tp_pricerange_med,tp_rating_min,tp_rating_med,tp_rating_max,tp_pk,tp_reviews_tot,tp_reviews_avg,rn_med_tramo
447000.0,4476571.914702141657472,4455,33,44,0,6,8,5045,2485,0,1,1,10.0,1764.16666666667,800.0,800.0,1,1764.16666666667,800.0,1764.16666666667,1764.16666666667,800.0,1764.16666666667,1,800.0,2,1,58.0,1,1,2401,21,1.27,0,2,0,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,8,0,0,0,0,58,0,0,0,0,0,63,0,0,0,0,1,0,1,0,25,0,0,0,0,142,0,2,3,3,1,3,2.0,3.5,0,0.666666666666667,0,1,2,0.0,3.0,3.5,4.0,2035,6,2.0,7
447000.0,4481075.246801820583642,4456,3,1,0,3,1,5059,168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,0,0,0,56,0,,,,,,,,,,,,,,,,,,,,9
447000.0,4485578.578901499509811,4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447000.0,4472241.787683219648898,4458,370,961,0,4.03387,3,5027,38700,0,,,,2402.91666666667,,,,2402.91666666667,,2402.91666666667,2402.91666666667,,2402.91666666667,1,,3,1,79.0,1,1,2395,13,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,1,27,0,0,0,3,0,3,1,0,4,1,1,0,0,35,0,0,0,8,3,46,0,0,1,3,0,4,1,0,10,1,2,0,0,76,0,,,,,,,,,,,,,,,,,,,,7
447000.0,4476745.119782898575068,4459,17,22,0,6,5,5046,1309,0,,,,1307.91666666667,,,,1307.91666666667,,1307.91666666667,1307.91666666667,,1307.91666666667,1,,1,2,43.0,1,1,2402,5,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,42,0,0,0,0,3,0,0,0,18,0,0,0,0,97,0,0,0,0,0,81,0,0,0,1,3,1,1,0,31,0,0,0,0,204,0,1,1,1,1,1,1.0,5.0,0,2.0,0,1,0,2.0,5.0,5.0,5.0,2036,1,1.0,7
447000.0,4481248.451882577501237,4460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,,,,,,,,,,,,,,,,,,,,
447000.0,4472414.992763976566494,4461,537,1248,0,4.268225,2,5028,41815,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,20,0,0,0,3,0,1,1,0,5,0,1,0,0,27,0,0,0,6,1,42,0,0,1,3,0,3,1,0,6,1,1,0,0,64,0,,,,,,,,,,,,,,,,,,,,7
447000.0,4476918.324863655492663,4462,9,12,0,5.5,2,5047,540,0,,,,1581.66666666667,,,,1581.66666666667,,1581.66666666667,1581.66666666667,,1581.66666666667,1,,1,3,52.0,1,1,2403,17,1.1,2,0,0,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,51,0,0,0,1,3,0,0,0,21,0,0,0,0,116,0,0,0,3,2,88,0,0,0,1,3,1,0,0,46,0,2,0,0,232,0,2,2,51,1,2,26.0,2.5,1,0.5,0,0,1,0.5,1.0,2.5,4.0,2037,52,26.0,7
447000.0,4481421.656963334418833,4463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,,,,,,,,,,,,,,,,,,,,
447000.0,4472588.197844733484089,4464,326,660,0,4.26782,1,5029,31643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,21,0,0,0,3,0,1,0,0,2,0,0,0,0,32,0,,,,,,,,,,,,,,,,,,,,7
447000.0,4490428.321162692271173,4465,,,,,,,,,1,1,10.0,,1000.0,1000.0,1,,1000.0,,,1000.0,,,1000.0,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447000.0,4477091.529944412410259,4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,48,0,0,0,1,2,0,0,0,17,0,2,0,0,83,0,0,0,3,2,66,0,0,0,1,2,1,0,0,29,0,2,0,0,153,0,,,,,,,,,,,,,,,,,,,,8
447000.0,4481594.862044091336429,4467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,
447000.0,4472761.402925490401685,4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,27,0,0,0,0,0,2,0,0,4,0,0,0,0,52,0,,,,,,,,,,,,,,,,,,,,
432600.0,4473454.223248518072069,4469,,,,,,,,,1,1,12.7777777777778,,2300.0,2300.0,1,,2300.0,,,2300.0,,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432600.0,4473627.428329274989665,4470,,,,,,,,,1,1,10.0,,2300.0,2300.0,1,,2300.0,,,2300.0,,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
